ID	DOMES	Date	B	L	Helips	Hnorm	ZTD	mZTD	GradN	GradE	mGradN	mGradE
BART	12234M001	2020-07-07 00:00:00.0	54.25069	20.81544	93.226	65.252	2,395.3	1.6	-1.14	1.73	0.2	0.21
BART	12234M001	2020-07-07 00:30:00.0	54.25069	20.81544	93.226	65.252	2,390.5	1.5	-1.07	0.88	0.2	0.21
BART	12234M001	2020-07-07 01:00:00.0	54.25069	20.81544	93.233	65.259	2,382.3	0.9	-1.14	0.42	0.11	0.12
BEDZ	NDNT-BEDZ	2020-07-07 00:00:00.0	50.34453	19.15936	315.219	274.427	2,358.8	1.5	-2.26	1.78	0.18	0.16
BEDZ	NDNT-BEDZ	2020-07-07 00:30:00.0	50.34453	19.15936	315.219	274.427	2,357.8	1.5	-2.06	2.42	0.18	0.19
BEDZ	NDNT-BEDZ	2020-07-07 01:00:00.0	50.34453	19.15936	315.219	274.427	2,352.2	1.1	-2.66	2.22	0.12	0.13
BES1	MUSE-BES1	2020-07-07 00:00:00.0	50.32831	19.12436	310.624	269.724	2,367.4	1.7	-2.25	1.26	0.19	0.21
BES1	MUSE-BES1	2020-07-07 00:30:00.0	50.32831	19.12436	310.624	269.724	2,365.2	1.7	-2.85	2.05	0.2	0.25
BES1	MUSE-BES1	2020-07-07 01:00:00.0	50.32831	19.12436	310.627	269.727	2,355.4	1.5	-2.76	1.68	0.16	0.22
BIA2	NDNT-BIAL	2020-07-07 00:00:00.0	49.39022	20.09875	754.85	713.411	2,290.1	1.7	-2.23	0.88	0.22	0.21
BIA2	NDNT-BIAL	2020-07-07 00:30:00.0	49.39022	20.09875	754.85	713.411	2,287	1.8	-1.74	1.2	0.22	0.24
BIA2	NDNT-BIAL	2020-07-07 01:00:00.0	49.39022	20.09875	754.856	713.417	2,269.6	1.5	-0.97	0.6	0.18	0.2
BILG	12236M001	2020-07-07 00:00:00.0	50.5315	22.71858	242.987	209.298	2,404	1.4	-1.07	2.61	0.17	0.17
BILG	12236M001	2020-07-07 00:30:00.0	50.5315	22.71858	242.987	209.298	2,390.4	1.4	0.11	1.02	0.18	0.2
BILG	12236M001	2020-07-07 01:00:00.0	50.5315	22.71858	242.972	209.283	2,401.2	1.2	-0.83	1.49	0.14	0.14
BOGI	12207M003	2020-07-07 00:00:00.0	52.475	21.03522	139.972	109.164	2,386.6	1.8	-0.9	2.71	0.32	0.24
BOGI	12207M003	2020-07-07 00:30:00.0	52.475	21.03522	139.972	109.164	2,385.1	2	-0.82	3.08	0.31	0.28
BOGI	12207M003	2020-07-07 01:00:00.0	52.475	21.03522	139.979	109.171	2,374	1.4	-2.28	3.24	0.23	0.19
BOGO	12207M002	2020-07-07 00:00:00.0	52.47594	21.03536	149.605	118.799	2,388.6	1.6	-2.01	1.61	0.23	0.21
BOGO	12207M002	2020-07-07 00:30:00.0	52.47594	21.03536	149.605	118.799	2,389.9	2	-1.99	2.15	0.27	0.26
BOGO	12207M002	2020-07-07 01:00:00.0	52.47594	21.03536	149.609	118.803	2,375.4	1.3	-1.54	1.74	0.19	0.16
BOR1	12205M002	2020-07-07 00:00:00.0	52.27694	17.07347	124.416	89.065	2,402.8	1.4	-0.51	0.52	0.27	0.17
BOR1	12205M002	2020-07-07 00:30:00.0	52.27694	17.07347	124.416	89.065	2,398.3	1.4	-0.59	1.2	0.24	0.19
BOR1	12205M002	2020-07-07 01:00:00.0	52.27694	17.07347	124.416	89.065	2,389.7	1.1	-1.03	0.68	0.2	0.14
BPDL	12223M001	2020-07-07 00:00:00.0	52.03528	23.12736	196.359	167.425	2,393.1	1.4	-0.98	1.8	0.21	0.2
BPDL	12223M001	2020-07-07 00:30:00.0	52.03528	23.12736	196.359	167.425	2,384.3	1.4	-0.76	2.19	0.19	0.21
BPDL	12223M001	2020-07-07 01:00:00.0	52.03528	23.12736	196.358	167.424	2,387.5	1	-1.01	0.18	0.13	0.12
BRZE	NDNT-BRZE	2020-07-07 00:00:00.0	49.969	20.59017	327.384	289.024	2,379.9	1.4	-1.4	1.22	0.24	0.18
BRZE	NDNT-BRZE	2020-07-07 00:30:00.0	49.969	20.59017	327.384	289.024	2,383.2	1.4	-0.43	1.18	0.19	0.18
BRZE	NDNT-BRZE	2020-07-07 01:00:00.0	49.969	20.59017	327.376	289.016	2,381.5	1.2	-0.24	0.72	0.17	0.12
BRZG	NDNT-BRZG	2020-07-07 00:00:00.0	50.86219	17.45103	190.687	150.338	2,392.8	1.7	-0.54	0.16	0.2	0.2
BRZG	NDNT-BRZG	2020-07-07 00:30:00.0	50.86219	17.45103	190.687	150.338	2,382.5	1.8	-0.38	0.84	0.24	0.23
BRZG	NDNT-BRZG	2020-07-07 01:00:00.0	50.86219	17.45103	190.688	150.339	2,377.8	1.2	-1.12	1.25	0.16	0.13
